Registration Number,Location Status,Licensee Name,Call Sign,Earth Station Latitude DMS,Earth Station Longitude DMS,Earth Station Latitude Decimal,Earth Station Longitude Decimal,Lower Frequency (MHz),Upper Frequency (MHz),Pointing Azimuth (degrees),Pointing Elevation Angle (degrees),Antenna Gain (dBi),Earth Station Site Elevation (meters),Earth Station Height AGL (meters),Earth Station Height AMSL (meters),GSO Satellite Longitude Decimal Degrees,Use for Tracking Telemetry and Command,Certification Date,Registration Last Updated,Call Sign Last Updated
FSS0001686,Inactive,SES Americom Inc,KB27,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,625.00","4,200.00",257.8,8.6,51.4,307,12.8,319.8,8,TRUE,2/6/2020,11/16/2022 11:51,11/16/2022 11:51
FSS0001688,Inactive,SES Americom Inc,KB27,"N34 19' 31""","W118 59' 44.4""",34.33,-119,"3,625.00","4,200.00",226.8,38.2,51.9,307,12.8,319.8,-150,TRUE,2/6/2020,11/16/2022 11:50,11/16/2022 11:50
FSS0001693,Active,MX1 Inc,E170048,"N41 27' 49.6""","W75 07' 50""",41.46,-75.13,"3,700.00","4,200.00",218.6,34.3,44,277.1,5.8,282.9,-103,TRUE,10/31/2023,10/31/2023 9:25,10/31/2023 9:25
FSS0001695,Active,MX1 Inc,E170048,"N41 27' 49.6""","W75 07' 50""",41.46,-75.13,"3,700.00","4,200.00",245.8,16.5,44,277.1,5.8,282.9,-131,TRUE,10/31/2023,10/31/2023 9:25,10/31/2023 9:25
FSS0001697,Active,MX1 Inc,E170080,"N41 27' 49.8""","W75 07' 51.3""",41.46,-75.13,"3,700.00","4,200.00",220.9,33.3,50.7,275.1,13,288.1,-105,TRUE,10/31/2023,10/31/2023 9:37,10/31/2023 9:37
FSS0001699,Active,MX1 Inc,E120095,"N41 27' 50.9""","W75 07' 51""",41.46,-75.13,"3,700.00","4,200.00",141.7,34.4,47.3,277.1,5.2,282.3,-10,TRUE,10/31/2023,10/31/2023 9:25,10/31/2023 9:25
FSS0001701,Active,MX1 Inc,E120095,"N41 27' 50.9""","W75 07' 51""",41.46,-75.13,"3,700.00","4,200.00",216.2,35.3,44,277.1,5.2,282.3,-101,TRUE,10/31/2023,10/31/2023 9:25,10/31/2023 9:25
FSS0001703,Active,Mx1 Inc,E950055,"N41 27' 51.9""","W75 07' 47.3""",41.46,-75.13,"3,700.00","4,200.00",155,39,50,270,10,280,-58,TRUE,10/31/2023,10/31/2023 9:24,10/31/2023 9:24
FSS0001705,Active,MX1 Inc,E950056,"N41 27' 47.6""","W75 07' 49.1""",41.46,-75.13,"3,700.00","4,200.00",245.8,16.5,53.2,269.8,5.9,275.7,-131.1,TRUE,10/31/2023,10/31/2023 9:25,10/31/2023 9:25
FSS0001721,Active,"Denali 20020, LLC",E891020,"N48 08' 47.04""","W119 41' 33""",48.15,-119.69,"3,700.00","4,200.00",109.8,8.3,52.5,390.5,12.8,403.3,-55.5,FALSE,9/7/2023,9/7/2023 11:26,9/7/2023 11:26
